Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	C6	C7	C8	C9	D1	D2	D3	D4	D5	D6	D7	D8	D9	E1	E2	E3	E4	E5	E6	E7	E8	E9	F1	F2	F3	F4	F5	F6	F7	F8	F9	G1	G2	G3	G4	G5	G6	G7	G8	G9	H1	H2	H3	H4	H5	H6	H7	H8	H9
0:29:16	0.016	0.013	0.013	0.013	0.012	0.013	0.014	0.015	0.018	0.003	0.001	0.005	0.002	0.003	0.002	0.005	0.008	0.021	0.01	0.012	0.01	0.007	0.009	0.01	0.012	0.01	0.011	0.003	0.003	0.004	0.002	0.002	0.001	0.005	0.004	0.009	0.025	0.022	0.023	0.026	0.025	0.027	0.023	0.022	0.03		0.017	0.019	0.017	0.018	0.021	0.016	0.019	0.022	0.009	0.002	0.005	0.005	0.003	0.006	0.004	0.004	0.006	0.01	0.014	0.01	0.01	0.009	0.008	0.01	0.008	0.011
0:59:16	0.02	0.017	0.017	0.017	0.015	0.017	0.021	0.02	0.028	0.004	0.002	0.007	0.004	0.005	0.004	0.007	0.008	0.013	0.012	0.013	0.012	0.01	0.012	0.017	0.012	0.014	0.014	0.004	0.003	0.006	0.004	0.003	0.003	0.005	0.006	0.007	0.03	0.03	0.033	0.034	0.033	0.033	0.028	0.032	0.039		0.022	0.024	0.022	0.023	0.023	0.019	0.027	0.028	0.01	0.004	0.008	0.007	0.005	0.019	0.004	0.008	0.009	0.012	0.014	0.014	0.013	0.012	0.012	0.011	0.013	0.016
1:29:16	0.027	0.025	0.024	0.023	0.021	0.022	0.032	0.029	0.033	0.005	0.004	0.009	0.005	0.006	0.006	0.006	0.006	0.009	0.016	0.017	0.017	0.012	0.014	0.024	0.015	0.015	0.015	0.006	0.005	0.007	0.005	0.004	0.004	0.009	0.007	0.005	0.041	0.048	0.051	0.047	0.045	0.044	0.041	0.042	0.049		0.031	0.035	0.028	0.028	0.027	0.029	0.034	0.037	0.012	0.008	0.012	0.009	0.007	0.022	0.011	0.01	0.011	0.017	0.017	0.019	0.017	0.015	0.015	0.016	0.016	0.021
1:59:16	0.038	0.038	0.037	0.03	0.027	0.029	0.038	0.035	0.043	0.007	0.006	0.011	0.008	0.007	0.007	0.009	0.008	0.01	0.023	0.024	0.024	0.016	0.018	0.031	0.022	0.02	0.018	0.008	0.008	0.01	0.006	0.006	0.005	0.012	0.009	0.031	0.062	0.074	0.079	0.064	0.06	0.057	0.058	0.06	0.068		0.048	0.051	0.035	0.034	0.033	0.043	0.047	0.05	0.019	0.016	0.019	0.012	0.01	0.023	0.019	0.015	0.016	0.026	0.024	0.028	0.023	0.021	0.02	0.025	0.024	0.031
2:29:16	0.056	0.058	0.054	0.039	0.035	0.036	0.048	0.043	0.05	0.011	0.009	0.014	0.01	0.009	0.007	0.01	0.008	0.01	0.033	0.034	0.034	0.021	0.023	0.038	0.027	0.023	0.021	0.012	0.012	0.014	0.008	0.007	0.006	0.014	0.01	0.049	0.094	0.109	0.115	0.085	0.08	0.075	0.078	0.088	0.086		0.068	0.073	0.044	0.041	0.038	0.061	0.065	0.068	0.033	0.029	0.03	0.016	0.014	0.026	0.025	0.021	0.022	0.042	0.038	0.043	0.032	0.03	0.029	0.038	0.034	0.04
2:59:16	0.079	0.081	0.076	0.048	0.043	0.042	0.059	0.05	0.055	0.014	0.012	0.016	0.013	0.01	0.008	0.008	0.007	0.01	0.044	0.046	0.046	0.025	0.027	0.045	0.032	0.026	0.022	0.016	0.018	0.019	0.011	0.009	0.007	0.016	0.011	0.049	0.13	0.152	0.159	0.105	0.099	0.093	0.101	0.108	0.109		0.093	0.1	0.054	0.049	0.044	0.082	0.084	0.087	0.054	0.049	0.046	0.022	0.02	0.03	0.042	0.028	0.026	0.064	0.055	0.064	0.044	0.041	0.039	0.052	0.045	0.049
3:29:16	0.106	0.107	0.101	0.057	0.051	0.046	0.072	0.059	0.059	0.018	0.015	0.019	0.014	0.01	0.007	0.008	0.007	0.009	0.059	0.06	0.06	0.03	0.031	0.051	0.038	0.03	0.022	0.022	0.024	0.024	0.013	0.01	0.008	0.016	0.012	0.046	0.179	0.203	0.212	0.126	0.118	0.11	0.126	0.132	0.127		0.123	0.13	0.064	0.057	0.05	0.103	0.104	0.106	0.081	0.076	0.07	0.028	0.026	0.035	0.052	0.034	0.032	0.089	0.076	0.087	0.058	0.055	0.049	0.067	0.056	0.057
3:59:16	0.136	0.134	0.125	0.065	0.059	0.05	0.083	0.067	0.064	0.021	0.019	0.021	0.015	0.01	0.007	0.007	0.008	0.009	0.077	0.076	0.075	0.034	0.034	0.057	0.047	0.033	0.024	0.029	0.033	0.031	0.015	0.012	0.008	0.017	0.012	0.029	0.232	0.259	0.265	0.146	0.138	0.129	0.151	0.15	0.142		0.157	0.167	0.075	0.066	0.056	0.123	0.126	0.128	0.112	0.108	0.095	0.035	0.034	0.041	0.064	0.044	0.04	0.116	0.097	0.11	0.074	0.068	0.06	0.081	0.068	0.067
4:29:16	0.168	0.164	0.149	0.074	0.065	0.053	0.094	0.076	0.067	0.026	0.023	0.023	0.017	0.01	0.007	0.007	0.007	0.009	0.096	0.093	0.095	0.039	0.038	0.062	0.053	0.039	0.027	0.037	0.042	0.039	0.018	0.013	0.009	0.019	0.013	0.022	0.299	0.316	0.32	0.168	0.157	0.149	0.172	0.167	0.159		0.192	0.205	0.086	0.075	0.063	0.141	0.149	0.147	0.15	0.145	0.124	0.047	0.044	0.049	0.074	0.055	0.05	0.151	0.123	0.138	0.093	0.085	0.074	0.096	0.08	0.078
4:59:16	0.202	0.195	0.176	0.08	0.071	0.055	0.103	0.08	0.069	0.031	0.025	0.025	0.016	0.01	0.006	0.006	0.007	0.01	0.116	0.111	0.111	0.042	0.039	0.061	0.056	0.041	0.029	0.044	0.051	0.044	0.021	0.013	0.008	0.02	0.013	0.018	0.352	0.369	0.372	0.186	0.176	0.165	0.186	0.174	0.163		0.227	0.241	0.096	0.083	0.069	0.162	0.166	0.167	0.178	0.179	0.152	0.053	0.05	0.052	0.078	0.061	0.053	0.186	0.151	0.169	0.105	0.095	0.082	0.105	0.081	0.078
5:29:16	0.238	0.227	0.206	0.085	0.078	0.055	0.11	0.082	0.071	0.036	0.029	0.028	0.015	0.008	0.005	0.007	0.006	0.01	0.14	0.128	0.129	0.044	0.04	0.06	0.064	0.045	0.029	0.052	0.06	0.052	0.022	0.012	0.008	0.023	0.017	0.018	0.399	0.416	0.419	0.204	0.191	0.181	0.199	0.18	0.168		0.259	0.275	0.106	0.09	0.074	0.179	0.184	0.18	0.214	0.22	0.189	0.06	0.056	0.057	0.089	0.07	0.059	0.227	0.188	0.207	0.119	0.105	0.089	0.112	0.088	0.082
