Time	A1	A2	A3	A4	A5	A6	A7	A8	A9	B1	B2	B3	B4	B5	B6	B7	B8	B9	C1	C2	C3	C4	C5	C6	C7	C8	C9	D1	D2	D3	D4	D5	D6	D7	D8	D9	E1	E2	E3	E4	E5	E6	E7	E8	E9	F1	F2	F3	F4	F5	F6	F7	F8	F9	G1	G2	G3	G4	G5	G6	G7	G8	G9	H1	H2	H3	H4	H5	H6	H7	H8	I1	I2	I4	I5	I6	I7	I8	I9	J1	J2	J3	J4	J5	J6	J7	J8	J9	K1	K2	K3	K4	K5	K6	K7	K8	K9	L1	L2	L3	L4	L5	L6	L7	L8	L9	M1	M2	M3	M4	M5	M6	M7	M8	M9	N1	N2	N3	N4	N5	N6	N7	N8	O1	O2	O3	O4	O5	O6	O7	O8	O9	P1	P2	P3	P4	P5	P6	P7	P8	P9
0:29:16	0.016	0.013	0.013	0.013	0.012	0.013	0.014	0.015	0.018	0.003	0.001	0.005	0.002	0.003	0.002	0.005	0.008	0.021	0.01	0.012	0.01	0.007	0.009	0.01	0.012	0.01	0.011	0.003	0.003	0.004	0.002	0.002	0.001	0.005	0.004	0.009	0.025	0.022	0.023	0.026	0.025	0.027	0.023	0.022	0.03	0.017	0.019	0.017	0.018	0.021	0.016	0.019	0.022	0.009	0.002	0.005	0.005	0.003	0.006	0.004	0.004	0.006	0.01	0.014	0.01	0.01	0.009	0.008	0.01	0.008	0.011	0	0.001	0.003	0.004	0.002	0.006	0.009	-0.03	0.015	0.014	0.015	0.012	0.018	0.013	0.02	0.015	-0.019	0.018	0.017	0.019	0.016	0.019	0.013	0.028	0.022	-0.017	0.009	0.008	0.008	0.005	0.006	0.004	0.01	0.007	-0.019	0.026	0.026	0.025	0.023	0.024	0.025	0.028	0.04	-0.014	0.013	0.007	0.011	0.017	0.015	0.013	0.015	0.016	0.04	0.039	0.028	0.039	0.04	0.037	0.046	0.069	0.006	0.023	0.015	0.024	0.009	0.018	0.025	0.027	0.025	-0.014
0:59:16	0.02	0.017	0.017	0.017	0.015	0.017	0.021	0.02	0.028	0.004	0.002	0.007	0.004	0.005	0.004	0.007	0.008	0.013	0.012	0.013	0.012	0.01	0.012	0.017	0.012	0.014	0.014	0.004	0.003	0.006	0.004	0.003	0.003	0.005	0.006	0.007	0.03	0.03	0.033	0.034	0.033	0.033	0.028	0.032	0.039	0.022	0.024	0.022	0.023	0.023	0.019	0.027	0.028	0.01	0.004	0.008	0.007	0.005	0.019	0.004	0.008	0.009	0.012	0.014	0.014	0.013	0.012	0.012	0.011	0.013	0.016	0.001	0.003	0.003	0.003	0.002	0.02	0.009	-0.078	0.017	0.016	0.015	0.012	0.018	0.013	0.015	0.015	-0.071	0.021	0.019	0.021	0.016	0.019	0.013	0.022	0.025	-0.059	0.012	0.01	0.01	0.005	0.007	0.005	0.01	0.008	-0.056	0.027	0.028	0.028	0.023	0.024	0.026	0.031	0.037	-0.056	0.015	0.011	0.015	0.018	0.016	0.014	0.018	0.02	0.047	0.046	0.037	0.042	0.043	0.04	0.055	0.068	-0.029	0.023	0.019	0.026	0.012	0.021	0.027	0.033	0.038	-0.054
1:29:16	0.027	0.025	0.024	0.023	0.021	0.022	0.032	0.029	0.033	0.005	0.004	0.009	0.005	0.006	0.006	0.006	0.006	0.009	0.016	0.017	0.017	0.012	0.014	0.024	0.015	0.015	0.015	0.006	0.005	0.007	0.005	0.004	0.004	0.009	0.007	0.005	0.041	0.048	0.051	0.047	0.045	0.044	0.041	0.042	0.049	0.031	0.035	0.028	0.028	0.027	0.029	0.034	0.037	0.012	0.008	0.012	0.009	0.007	0.022	0.011	0.01	0.011	0.017	0.017	0.019	0.017	0.015	0.015	0.016	0.016	0.021	0.001	0.003	0.003	0.003	0.003	0.024	0.009	-0.063	0.019	0.018	0.016	0.013	0.018	0.014	0.019	0.016	-0.056	0.024	0.024	0.025	0.018	0.02	0.014	0.032	0.027	-0.042	0.014	0.013	0.013	0.006	0.007	0.006	0.017	0.01	-0.053	0.031	0.035	0.036	0.028	0.026	0.029	0.035	0.04	-0.037	0.018	0.016	0.021	0.02	0.016	0.016	0.02	0.022	0.06	0.06	0.052	0.05	0.048	0.047	0.063	0.085	-0.007	0.028	0.023	0.031	0.016	0.024	0.032	0.039	0.039	-0.033
1:59:16	0.038	0.038	0.037	0.03	0.027	0.029	0.038	0.035	0.043	0.007	0.006	0.011	0.008	0.007	0.007	0.009	0.008	0.01	0.023	0.024	0.024	0.016	0.018	0.031	0.022	0.02	0.018	0.008	0.008	0.01	0.006	0.006	0.005	0.012	0.009	0.031	0.062	0.074	0.079	0.064	0.06	0.057	0.058	0.06	0.068	0.048	0.051	0.035	0.034	0.033	0.043	0.047	0.05	0.019	0.016	0.019	0.012	0.01	0.023	0.019	0.015	0.016	0.026	0.024	0.028	0.023	0.021	0.02	0.025	0.024	0.031	0.002	0.004	0.004	0.005	0.003	0.008	0.009	-0.05	0.021	0.021	0.019	0.015	0.021	0.015	0.019	0.017	-0.045	0.031	0.031	0.033	0.021	0.023	0.016	0.028	0.029	-0.027	0.017	0.017	0.017	0.008	0.009	0.007	0.015	0.01	-0.044	0.041	0.046	0.049	0.032	0.032	0.035	0.039	0.044	-0.021	0.026	0.024	0.03	0.022	0.019	0.019	0.024	0.023	0.079	0.078	0.072	0.062	0.06	0.055	0.073	0.095	0.013	0.036	0.029	0.038	0.023	0.03	0.038	0.067	0.044	-0.014
2:29:16	0.056	0.058	0.054	0.039	0.035	0.036	0.048	0.043	0.05	0.011	0.009	0.014	0.01	0.009	0.007	0.01	0.008	0.01	0.033	0.034	0.034	0.021	0.023	0.038	0.027	0.023	0.021	0.012	0.012	0.014	0.008	0.007	0.006	0.014	0.01	0.049	0.094	0.109	0.115	0.085	0.08	0.075	0.078	0.088	0.086	0.068	0.073	0.044	0.041	0.038	0.061	0.065	0.068	0.033	0.029	0.03	0.016	0.014	0.026	0.025	0.021	0.022	0.042	0.038	0.043	0.032	0.03	0.029	0.038	0.034	0.04	0.002	0.005	0.005	0.005	0.004	0.009	0.009	-0.039	0.026	0.025	0.022	0.016	0.021	0.016	0.018	0.017	-0.04	0.039	0.041	0.044	0.024	0.025	0.019	0.031	0.031	-0.02	0.02	0.021	0.022	0.009	0.009	0.009	0.015	0.01	-0.019	0.054	0.06	0.065	0.038	0.038	0.041	0.045	0.05	-0.009	0.036	0.036	0.042	0.024	0.021	0.022	0.026	0.031	0.104	0.102	0.096	0.073	0.071	0.066	0.077	0.101	0.029	0.045	0.036	0.047	0.032	0.037	0.045	0.072	0.051	-0.001
2:59:16	0.079	0.081	0.076	0.048	0.043	0.042	0.059	0.05	0.055	0.014	0.012	0.016	0.013	0.01	0.008	0.008	0.007	0.01	0.044	0.046	0.046	0.025	0.027	0.045	0.032	0.026	0.022	0.016	0.018	0.019	0.011	0.009	0.007	0.016	0.011	0.049	0.13	0.152	0.159	0.105	0.099	0.093	0.101	0.108	0.109	0.093	0.1	0.054	0.049	0.044	0.082	0.084	0.087	0.054	0.049	0.046	0.022	0.02	0.03	0.042	0.028	0.026	0.064	0.055	0.064	0.044	0.041	0.039	0.052	0.045	0.049	0.002	0.006	0.005	0.006	0.005	0.024	0.01	-0.073	0.031	0.03	0.027	0.018	0.023	0.018	0.017	0.018	-0.062	0.051	0.055	0.058	0.027	0.027	0.021	0.036	0.035	-0.045	0.025	0.026	0.026	0.01	0.011	0.01	0.014	0.011	-0.058	0.07	0.08	0.086	0.046	0.045	0.048	0.051	0.058	-0.03	0.049	0.051	0.057	0.027	0.023	0.024	0.03	0.032	0.131	0.133	0.124	0.087	0.084	0.08	0.095	0.107	0.007	0.059	0.051	0.058	0.043	0.045	0.054	0.078	0.066	-0.017
3:29:16	0.106	0.107	0.101	0.057	0.051	0.046	0.072	0.059	0.059	0.018	0.015	0.019	0.014	0.01	0.007	0.008	0.007	0.009	0.059	0.06	0.06	0.03	0.031	0.051	0.038	0.03	0.022	0.022	0.024	0.024	0.013	0.01	0.008	0.016	0.012	0.046	0.179	0.203	0.212	0.126	0.118	0.11	0.126	0.132	0.127	0.123	0.13	0.064	0.057	0.05	0.103	0.104	0.106	0.081	0.076	0.07	0.028	0.026	0.035	0.052	0.034	0.032	0.089	0.076	0.087	0.058	0.055	0.049	0.067	0.056	0.057	0.003	0.007	0.006	0.006	0.004	0.009	0.01	-0.039	0.036	0.035	0.032	0.019	0.024	0.018	0.019	0.019	-0.042	0.065	0.071	0.076	0.03	0.029	0.022	0.038	0.039	-0.016	0.03	0.033	0.033	0.012	0.012	0.011	0.013	0.012	-0.035	0.092	0.109	0.115	0.054	0.055	0.058	0.058	0.065	0.002	0.067	0.07	0.076	0.03	0.026	0.028	0.036	0.039	0.167	0.174	0.16	0.101	0.099	0.095	0.105	0.105	0.041	0.076	0.068	0.073	0.055	0.057	0.065	0.095	0.087	0.018
3:59:16	0.136	0.134	0.125	0.065	0.059	0.05	0.083	0.067	0.064	0.021	0.019	0.021	0.015	0.01	0.007	0.007	0.008	0.009	0.077	0.076	0.075	0.034	0.034	0.057	0.047	0.033	0.024	0.029	0.033	0.031	0.015	0.012	0.008	0.017	0.012	0.029	0.232	0.259	0.265	0.146	0.138	0.129	0.151	0.15	0.142	0.157	0.167	0.075	0.066	0.056	0.123	0.126	0.128	0.112	0.108	0.095	0.035	0.034	0.041	0.064	0.044	0.04	0.116	0.097	0.11	0.074	0.068	0.06	0.081	0.068	0.067	0.003	0.008	0.006	0.006	0.003	0.011	0.011	-0.042	0.043	0.04	0.038	0.019	0.025	0.019	0.02	0.019	-0.038	0.08	0.086	0.094	0.033	0.032	0.024	0.042	0.043	-0.007	0.036	0.04	0.041	0.013	0.013	0.013	0.015	0.013	-0.034	0.124	0.142	0.15	0.065	0.066	0.068	0.066	0.074	0.016	0.09	0.091	0.098	0.033	0.028	0.031	0.044	0.048	0.201	0.212	0.2	0.116	0.114	0.113	0.111	0.131	0.059	0.097	0.089	0.091	0.071	0.07	0.078	0.092	0.098	0.044
4:29:16	0.168	0.164	0.149	0.074	0.065	0.053	0.094	0.076	0.067	0.026	0.023	0.023	0.017	0.01	0.007	0.007	0.007	0.009	0.096	0.093	0.095	0.039	0.038	0.062	0.053	0.039	0.027	0.037	0.042	0.039	0.018	0.013	0.009	0.019	0.013	0.022	0.299	0.316	0.32	0.168	0.157	0.149	0.172	0.167	0.159	0.192	0.205	0.086	0.075	0.063	0.141	0.149	0.147	0.15	0.145	0.124	0.047	0.044	0.049	0.074	0.055	0.05	0.151	0.123	0.138	0.093	0.085	0.074	0.096	0.08	0.078	0.003	0.008	0.006	0.006	0.002	0.01	0.012	-0.03	0.051	0.046	0.044	0.019	0.025	0.018	0.027	0.021	-0.041	0.096	0.103	0.113	0.036	0.034	0.025	0.046	0.048	-0.006	0.044	0.049	0.051	0.015	0.014	0.014	0.031	0.015	-0.04	0.162	0.178	0.188	0.074	0.079	0.08	0.076	0.083	0.021	0.116	0.116	0.125	0.036	0.032	0.034	0.052	0.056	0.25	0.264	0.255	0.133	0.134	0.129	0.119	0.147	0.065	0.123	0.112	0.118	0.085	0.083	0.091	0.108	0.114	0.05
4:59:16	0.202	0.195	0.176	0.08	0.071	0.055	0.103	0.08	0.069	0.031	0.025	0.025	0.016	0.01	0.006	0.006	0.007	0.01	0.116	0.111	0.111	0.042	0.039	0.061	0.056	0.041	0.029	0.044	0.051	0.044	0.021	0.013	0.008	0.02	0.013	0.018	0.352	0.369	0.372	0.186	0.176	0.165	0.186	0.174	0.163	0.227	0.241	0.096	0.083	0.069	0.162	0.166	0.167	0.178	0.179	0.152	0.053	0.05	0.052	0.078	0.061	0.053	0.186	0.151	0.169	0.105	0.095	0.082	0.105	0.081	0.078	0.003	0.009	0.005	0.007	0.002	0.011	0.013	-0.039	0.06	0.053	0.052	0.02	0.026	0.018	0.024	0.022	-0.045	0.112	0.117	0.133	0.039	0.036	0.026	0.052	0.052	-0.006	0.052	0.06	0.062	0.016	0.016	0.014	0.019	0.016	-0.031	0.205	0.222	0.225	0.083	0.091	0.091	0.086	0.091	0.026	0.14	0.14	0.151	0.04	0.036	0.039	0.062	0.065	0.298	0.313	0.308	0.149	0.154	0.145	0.13	0.155	0.073	0.153	0.139	0.153	0.099	0.097	0.105	0.122	0.127	0.062
