query	N
metE	28
nrdH~~~nrdH_1	28
lexA	28
group_5078	28
metK	28
group_5071	28
yvcK	28
whiA	28
def	28
rapZ	28
group_5070	28
fmt~~~fmt_1	28
uvrC	28
gap	28
moaC	28
group_5069	28
group_5068	28
group_5067	28
group_5066	28
group_5065	28
rpe	28
group_5064	28
group_5063	28
moaA	28
frr	28
ribD	28
group_5062	28
group_5060	28
secG	28
group_5059	28
rimP	28
group_5058	28
group_5057	28
group_5054	28
pgl	28
rho	28
nusA	28
group_5053	28
group_5049	28
group_5048	28
prfA	28
group_5046	28
rpsB	28
group_5040	28
group_5039	28
prmC	28
infB	28
group_5037	28
group_5036	28
group_5024	28
tal	28
group_5023	28
group_5022	28
rbfA	28
group_5017	28
group_5016	28
amaP	28
group_5001	28
group_5000	28
group_4999	28
group_4998	28
group_4997	28
group_4989	28
dprA~~~dprA_2	28
group_4986	28
group_4985	28
group_4961	28
group_4960	28
group_4959	28
group_4958	28
group_4954	28
group_4941	28
group_4940	28
group_4938	28
group_4935	28
secY	28
pyrR~~~pyrR_1	28
group_4930	28
argD	28
group_4898	28
group_4897	28
atpB	28
group_4896	28
group_4891	28
group_4888	28
group_4887	28
group_4868	28
group_4866	28
group_4865	28
group_4863	28
pheS	28
group_4859	28
group_4858	28
group_4852	28
group_4850	28
argF~~~argF_1~~~argF_2	28
group_4804	28
group_4803	28
group_4802	28
group_4801	28
group_4800	28
group_4798	28
group_4786	28
group_4781	28
group_4780	28
group_4756	28
group_4754	28
group_4753	28
group_4748	28
group_4745	28
map_2~~~map_1	28
group_4742	28
group_4737	28
carA	28
group_4731	28
dinG_2~~~~~~dinG_1	28
group_4700	28
group_4661	28
group_4660	28
group_4659	28
uvrB	28
group_4641	28
group_4631	28
purD	28
group_4591	28
truB	28
group_4584	28
group_4583	28
group_4582	28
group_4581	28
group_4575	28
group_4568	28
group_4564	28
group_4549	28
group_4548	28
carB	28
group_4535	28
group_4533	28
rpsQ	28
group_4489	28
group_4426	28
group_4425	28
group_4424	28
nucS	28
group_4422	28
group_4399	28
group_4386	28
group_4385	28
group_4372	28
nadE	28
group_4317	28
group_4315	28
group_4313	28
group_4312	28
group_4311	28
lepB_2~~~lepB_1	28
group_4308	28
infA	28
group_4294	28
tuf	28
infC	28
gmk	28
pyrF	28
rplO	28
group_4264	28
group_4258	28
rplD	28
group_4197	28
argH	28
sufC	28
mptB	28
atpA	28
group_4116	28
group_4113	28
group_4112	28
group_4081	28
group_4066	28
group_4065	28
betA	28
cadA_2~~~cadA_1~~~cadA_3	28
group_3966	28
proC	28
group_3944	28
group_3941	28
rpmF	28
group_3939	28
group_3938	28
group_3934	28
group_3933	28
rplC	28
rplE	28
rplN	28
