Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,Ctub_58D11_acrpm.spades.pilon.fasta_genome,Ctub_DM01A02_acrpe.spades.pilon.fasta_genome,Ctub_DM01A08_acvsp.spades.pilon.fasta_genome,Ctub_DM01E11_acrpd.spades.pilon.fasta_genome,Ctub_DM06H05_acvsn.spades.pilon.fasta_genome,Ctub_DM12B01_acvst.spades.pilon.fasta_genome,Ctub_DM18A08_acvth.spades.pilon.fasta_genome,Ctub_DM18C03_acvti.spades.pilon.fasta_genome,Ctub_DM21B10_acrox.spades.pilon.fasta_genome,Ctub_DM21C09_acvtj.spades.pilon.fasta_genome,Ctub_DM21C11_acrow.spades.pilon.fasta_genome,Ctub_DM24D01_acvsz.spades.pilon.fasta_genome,Ctub_DM28E02_acrpb.spades.pilon.fasta_genome,Ctub_DM31F07_acvta.spades.pilon.fasta_genome,Ctub_DM31F11_acvtb.spades.pilon.fasta_genome,Ctub_DM31G10_acvtk.spades.pilon.fasta_genome,Ctub_DM32D06_acrpp.spades.pilon.fasta_genome,Ctub_DM32E08_acrpq.spades.pilon.fasta_genome,Ctub_DM33A08_acvtm.spades.pilon.fasta_genome,Ctub_DM33G03_acvtd.spades.pilon.fasta_genome,Ctub_DM41C07_acvtl.spades.pilon.fasta_genome,Ctub_DM41D05_acvtg.spades.pilon.fasta_genome,GCF_000159115.1_ASM15911v1_genomic.fna_genome,GCF_000175635.1_ASM17563v1_genomic.fna_genome,GCF_016127015.1_ASM1612701v1_genomic.fna_genome,GCF_016613425.1_ASM1661342v1_genomic.fna_genome,GCF_016728365.1_ASM1672836v1_genomic.fna_genome,GCF_016894265.1_ASM1689426v1_genomic.fna_genome,duplicate_Ctub_DM24A09_acroz.spades.pilon.fasta_genome
metE,metE,5-methyltetrahydropteroyltriglutamate-- homocysteine S-methyltransferase,29,29,1.0,1,5777,,,,2271,2304,2284.655172413793,MNDJGCBO_00625,BAEMFPOL_01660,IFBJDBIC_01453,IHDAGAJE_02203,JLHCMBLP_02186,AGJPCOND_01366,GAGKCNGK_01534,HPNOPOKD_01499,MPMPHDIC_01765,COKKGDBG_01493,OFMFJDLO_01432,EPECPEML_01796,BCPKOOPG_01014,MHAMJDNJ_01467,MHMDHDMK_02000,GOOOCOCF_01056,DOCAKEAD_02173,DFDDJIAG_01288,BIHKHIPM_01634,IDHDBNGA_01579,FABEFEHK_01723,LBJDDPHL_02224,KHKEEPKC_01613,KOIPOHFF_00223,BENEEMDG_02105,AKMLPEBN_00748,OPLPGAAK_01114,FIBDHPGH_00546,JFPKKDNC_01774
nrdH~~~nrdH_1,nrdH;nrdH_1,glutaredoxin-like protein NrdH,29,29,1.0,1,5770,,,,240,240,240.0,MNDJGCBO_00857,BAEMFPOL_02276,IFBJDBIC_01620,IHDAGAJE_01820,JLHCMBLP_02009,AGJPCOND_02233,GAGKCNGK_00992,HPNOPOKD_01918,MPMPHDIC_00757,COKKGDBG_01782,OFMFJDLO_01082,EPECPEML_02053,BCPKOOPG_00223,MHAMJDNJ_00489,MHMDHDMK_00446,GOOOCOCF_02252,DOCAKEAD_01810,DFDDJIAG_01779,BIHKHIPM_01741,IDHDBNGA_00220,FABEFEHK_01943,LBJDDPHL_01975,KHKEEPKC_00789,KOIPOHFF_01683,BENEEMDG_01670,AKMLPEBN_01009,OPLPGAAK_00618,FIBDHPGH_00950,JFPKKDNC_01285
lexA,lexA,transcriptional repressor LexA,29,29,1.0,1,5762,,,,705,711,705.2068965517242,MNDJGCBO_00232,BAEMFPOL_01071,IFBJDBIC_00267,IHDAGAJE_00207,JLHCMBLP_00183,AGJPCOND_02158,GAGKCNGK_00094,HPNOPOKD_00744,MPMPHDIC_00150,COKKGDBG_00257,OFMFJDLO_00101,EPECPEML_00638,BCPKOOPG_01824,MHAMJDNJ_00777,MHMDHDMK_00076,GOOOCOCF_00099,DOCAKEAD_00277,DFDDJIAG_00635,BIHKHIPM_00166,IDHDBNGA_00686,FABEFEHK_00049,LBJDDPHL_00251,KHKEEPKC_01255,KOIPOHFF_00724,BENEEMDG_01136,AKMLPEBN_01682,OPLPGAAK_00084,FIBDHPGH_01461,JFPKKDNC_00116
group_5078,,aminopeptidase P family protein,29,29,1.0,1,5758,,,,342,1107,1054.2413793103449,MNDJGCBO_00323,BAEMFPOL_01153,IFBJDBIC_00167,IHDAGAJE_00836,JLHCMBLP_00276,AGJPCOND_01010,GAGKCNGK_00800,HPNOPOKD_00835,MPMPHDIC_00056,COKKGDBG_00163,OFMFJDLO_00195,EPECPEML_01306,BCPKOOPG_00849,MHAMJDNJ_00878,MHMDHDMK_00180,GOOOCOCF_01605,DOCAKEAD_00504,DFDDJIAG_01419,BIHKHIPM_00073,IDHDBNGA_00593,FABEFEHK_00142,LBJDDPHL_00345,KHKEEPKC_01347,KOIPOHFF_00633,BENEEMDG_01043,AKMLPEBN_01908,OPLPGAAK_02357,FIBDHPGH_01582,JFPKKDNC_00228
metK,metK,methionine adenosyltransferase,29,29,1.0,1,5750,,,,1233,1233,1233.0,MNDJGCBO_00341,BAEMFPOL_01136,IFBJDBIC_00149,IHDAGAJE_00819,JLHCMBLP_00308,AGJPCOND_01027,GAGKCNGK_00782,HPNOPOKD_00853,MPMPHDIC_00038,COKKGDBG_00146,OFMFJDLO_00212,EPECPEML_01324,BCPKOOPG_00832,MHAMJDNJ_00896,MHMDHDMK_00197,GOOOCOCF_01574,DOCAKEAD_00470,DFDDJIAG_01402,BIHKHIPM_00056,IDHDBNGA_00783,FABEFEHK_00159,LBJDDPHL_00362,KHKEEPKC_01364,KOIPOHFF_00616,BENEEMDG_01022,AKMLPEBN_01891,OPLPGAAK_02340,FIBDHPGH_01603,JFPKKDNC_00246
group_5071,,primosomal protein N',29,29,1.0,1,5749,,,,2007,2106,2043.6206896551723,MNDJGCBO_00342,BAEMFPOL_01135,IFBJDBIC_00148,IHDAGAJE_00818,JLHCMBLP_00309,AGJPCOND_01028,GAGKCNGK_00781,HPNOPOKD_00854,MPMPHDIC_00037,COKKGDBG_00145,OFMFJDLO_00213,EPECPEML_01325,BCPKOOPG_00831,MHAMJDNJ_00897,MHMDHDMK_00198,GOOOCOCF_01573,DOCAKEAD_00469,DFDDJIAG_01401,BIHKHIPM_00055,IDHDBNGA_00784,FABEFEHK_00160,LBJDDPHL_00363,KHKEEPKC_01365,KOIPOHFF_00615,BENEEMDG_01021,AKMLPEBN_01890,OPLPGAAK_02339,FIBDHPGH_01604,JFPKKDNC_00247
yvcK,yvcK,uridine diphosphate-N-acetylglucosamine-binding protein YvcK,29,29,1.0,1,5748,,,,975,996,988.8620689655172,MNDJGCBO_00354,BAEMFPOL_01123,IFBJDBIC_00136,IHDAGAJE_00806,JLHCMBLP_00321,AGJPCOND_01040,GAGKCNGK_00769,HPNOPOKD_00866,MPMPHDIC_00025,COKKGDBG_00133,OFMFJDLO_00225,EPECPEML_01337,BCPKOOPG_00819,MHAMJDNJ_00909,MHMDHDMK_00210,GOOOCOCF_01561,DOCAKEAD_00457,DFDDJIAG_01389,BIHKHIPM_00043,IDHDBNGA_00796,FABEFEHK_00172,LBJDDPHL_00375,KHKEEPKC_01377,KOIPOHFF_00603,BENEEMDG_01009,AKMLPEBN_01878,OPLPGAAK_02327,FIBDHPGH_01616,JFPKKDNC_00259
whiA,whiA,DNA-binding protein WhiA,29,29,1.0,1,5747,,,,990,990,990.0,MNDJGCBO_00355,BAEMFPOL_01122,IFBJDBIC_00135,IHDAGAJE_00805,JLHCMBLP_00322,AGJPCOND_01041,GAGKCNGK_00768,HPNOPOKD_00867,MPMPHDIC_00024,COKKGDBG_00132,OFMFJDLO_00226,EPECPEML_01338,BCPKOOPG_00818,MHAMJDNJ_00910,MHMDHDMK_00211,GOOOCOCF_01560,DOCAKEAD_00456,DFDDJIAG_01388,BIHKHIPM_00042,IDHDBNGA_00797,FABEFEHK_00173,LBJDDPHL_00376,KHKEEPKC_01378,KOIPOHFF_00602,BENEEMDG_01008,AKMLPEBN_01877,OPLPGAAK_02326,FIBDHPGH_01617,JFPKKDNC_00260
def,def,peptide deformylase,29,29,1.0,1,5746,,,,513,522,514.6551724137931,MNDJGCBO_00343,BAEMFPOL_01134,IFBJDBIC_00147,IHDAGAJE_00817,JLHCMBLP_00310,AGJPCOND_01029,GAGKCNGK_00780,HPNOPOKD_00855,MPMPHDIC_00036,COKKGDBG_00144,OFMFJDLO_00214,EPECPEML_01326,BCPKOOPG_00830,MHAMJDNJ_00898,MHMDHDMK_00199,GOOOCOCF_01572,DOCAKEAD_00468,DFDDJIAG_01400,BIHKHIPM_00054,IDHDBNGA_00785,FABEFEHK_00161,LBJDDPHL_00364,KHKEEPKC_01366,KOIPOHFF_00614,BENEEMDG_01020,AKMLPEBN_01889,OPLPGAAK_02338,FIBDHPGH_01605,JFPKKDNC_00248
rapZ,rapZ,RNase adapter RapZ,29,29,1.0,1,5745,,,,873,882,879.2068965517242,MNDJGCBO_00353,BAEMFPOL_01124,IFBJDBIC_00137,IHDAGAJE_00807,JLHCMBLP_00320,AGJPCOND_01039,GAGKCNGK_00770,HPNOPOKD_00865,MPMPHDIC_00026,COKKGDBG_00134,OFMFJDLO_00224,EPECPEML_01336,BCPKOOPG_00820,MHAMJDNJ_00908,MHMDHDMK_00209,GOOOCOCF_01562,DOCAKEAD_00458,DFDDJIAG_01390,BIHKHIPM_00044,IDHDBNGA_00795,FABEFEHK_00171,LBJDDPHL_00374,KHKEEPKC_01376,KOIPOHFF_00604,BENEEMDG_01010,AKMLPEBN_01879,OPLPGAAK_02328,FIBDHPGH_01615,JFPKKDNC_00258
