query	COG_category
abgB	S
accB	I
acdA	I
aceE	C
aceF~~~sucB	C
acm	M
aes	I
aftB	M
ala	E
alaS	J
ald	C
amaP	-
amn	F
amt	P
aplIM	H
arc	O
arcA	E
arcC1	E
argB	E
argC~~~argC_2~~~argC_1	E
argD	E
argF_1	E
argF~~~argF_1~~~argF_2	E
argH	E
argJ	E
aroA	E
aroB	E
aroC	E
aroQ	E
arsA	P
arsB	P
arsB_1	P
arsB~~~arsB_2	P
arsC	T
arsD	S
asnB	E
aspA	E
aspS	J
atpA	C
atpB	C
atpD	C
bcgIA	V
bcgIB	V
bcp	O
betA	C
betT~~~betT_2~~~betT_1	M
bin3	L
bioB	H
bioD	H
bioF	E
bioW	H
bioW_1	H
bioW_2	H
bktB	I
blaB	V
bprV	O
brnQ	E
btuD	S
btuD_1	V
btuD_2	V
btuD~~~btuD_1	E
btuF	P
budA	Q
budA~~~budA_2~~~budA_1	Q
cadA_1	P
cadA_2~~~cadA_1	P
cadA_2~~~cadA_1~~~cadA_3	P
cadA_3	P
can	C
carA	F
carB	F
cas1	L
cas1e	L
cas2	L
cas2e	L
cas5e	S
cas6e	S
cas7e	L
cas9	L
casA	L
casB	S
ccsB	O
cdd	F
citN	C
clpB	O
clpP	OU
clpS	S
clpX	O
cls	I
cmoM	Q
cmpB	P
coaBC	H
coaD	H
cobA	H
COQ3	H
cpg2	E
crgA	D
crtI	Q
crtK2	GM
cscB	P
ctaD	C
cydA	C
cydB	C
cypB	PQ
cysE	E
cysK	E
cysS	J
dacB	M
dapA_1	EM
dapA_2~~~dapA	E
dapD	E
dauA	P
dcuD_2	C
dcuD~~~dcuD_1	C
ddc	E
def	J
deoA	F
deoC	F
deoD	F
deoR	K
der	F
dhaM	G
dinG	L
dinG_1	L
dinG_1~~~~~~dinG_2	L
dinG_2	L
dinG_2~~~~~~dinG_1	L
dinG_2~~~dinG_3~~~dinG	L
dinG_2~~~polC~~~dinG	L
dipZ	CO
dltA	Q
dnaA	L
dnaB	L
dnaE	L
dnaJ_1~~~dnaJ_2	O
dnaJ_2	O
dnaJ_2~~~dnaJ_1	O
dnaK	O
dnaN	L
dprA_1	LU
dprA~~~dprA_2	LU
drrA	V
dtd	J
dusB	J
dut	F
dut_2	F
dut_3	F
eccB	S
eccD	-
efeB	P
efp	J
ehpR	E
eno	G
entS	EGP
era	S
esxA	S
ettA	S
ettA_1	S
fabG	IQ
fabG_2~~~fabG_1	IQ
fabG~~~fabG_1	IQ
fatC	P
fbaA	G
fdhD	C
fecE	HP
feoB_1	P
feoB_2	P
feoB~~~~~~feoB_1~~~feoB_2	P
ffh	U
fmt_2	J
fmt_3	J
fmt~~~fmt_1	J
folB	H
folE	H
folK	H
folP_1~~~folP_2	H
folP_2~~~folP_1	H
frr	J
ftsE	D
ftsH	O
ftsH_2	O
ftsX	D
ftsY	U
ftsZ	D
fusA	J
gabD2	C
gabT	E
galE_1~~~galE	M
galE_2	M
galK	G
galT	H
gap	G
garR	I
gatA	J
gatB	J
gatC	J
gcvH	E
gcvP	E
gcvT	E
gdhA	E
glf	M
glgA	G
glgB	G
glgC	H
glgX	G
glmS	M
glmU	M
glnA	E
glpK	F
glpT_1	G
glpT_2	G
glpX	G
gluQRS	J
gmk	F
gndA	G
gpm2	G
grcA	C
greA	K
groES	O
groL_1	O
groL_2~~~groL_1	O
group_0	K
group_1	M
group_10	K
group_100	-
group_1000	V
group_1001	CO
group_1002	H
group_1003	V
group_1004	S
group_1005	L
group_1006	C
group_1007	L
group_1008	C
group_1009	H
group_101	J
group_1010	K
group_1011	L
group_1013	S
group_1014	P
group_1016	E
group_1017	M
group_1018	O
group_1019	P
group_102	L
group_1020	G
group_1021	-
group_1022	-
group_1023	E
group_1024	P
group_1025	G
group_1026	-
group_1027	QT
group_1028	H
group_1029	P
group_103	L
group_1030	P
group_1031	J
group_1032	H
group_1033	S
group_1034	M
group_1035	E
group_1036	C
group_1037	L
group_1039	H
group_104	K
group_1040	P
group_1041	M
group_1042	J
group_1043	S
group_1045	M
group_1046	S
group_1047	-
group_1048	M
group_1049	H
group_105	S
group_1051	M
group_1052	P
group_1053	M
group_1054	E
group_1055	CO
group_1056	S
group_1057	L
group_1059	O
group_106	K
group_1060	M
group_1061	J
group_1062	L
group_1063	S
group_1065	P
group_1066	S
group_1067	G
group_1068	S
group_1069	L
group_107	-
group_1070	C
group_1071	P
group_1072	EGP
group_1073	C
group_1074	EGP
